Kiran_ID,row_id,DateOfIssue,Brand,token_count,Hand_Label,Is_Non_Ad,Reason,is_non_advertiser,is_multipage,too_short,any_flag,is_non_advertiser_ci,any_flag_revised,Outcome_any_flag,Outcome_any_flag_revised
1014,1013,2013-09-07,Toshiba,94,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1039,1038,2013-08-17,Eurofinance,205,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1049,1048,2013-08-10,University Of Cambridge,57,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1064,1063,2013-07-27,Bastiat Prize,91,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1067,1066,2013-07-27,Hitachi,102,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1071,1070,2013-07-27,BMW,100,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1080,1079,2013-07-13,Hyundai,18,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1099,1098,2013-06-29,Cartier,120,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1108,1107,2013-06-29,IBM,379,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1109,1108,2013-06-29,BlackBerry,155,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1113,1112,2013-06-29,Microsoft,167,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1122,1121,2013-06-29,Chevron,122,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1143,1142,2013-06-22,Audi,117,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1166,1165,2013-06-08,Kion,75,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1191,1190,2013-06-01,Adobe,56,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1196,1195,2013-06-01,Markel,66,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1200,1199,2013-06-01,Shell,110,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1226,1225,2013-05-25,Omega,68,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1237,1236,2013-05-18,ING,198,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1243,1242,2013-05-11,IMD,197,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1255,1254,2013-05-11,Dassault Systemes,130,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1264,1263,2013-05-04,RBC Wealth Management,161,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1275,1274,2013-04-27,Microsoft,86,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1283,1282,2013-04-20,Palantir,68,0,True,Broken OCR,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1289,1288,2013-04-20,Huawei,19,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1292,1291,2013-04-20,BASF,84,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1293,1292,2013-04-20,Brioni,15,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1296,1295,2013-04-20,RBC Wealth Management,149,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1313,1312,2013-04-06,IMD,198,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1327,1326,2013-04-06,RBC Wealth Management,157,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1338,1337,2013-03-30,Rolex,27,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1341,1340,2013-03-23,,73,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1347,1346,2013-03-23,Accenture,80,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1348,1347,2013-03-23,Pictet,18,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1351,1350,2013-03-23,Rackspace,169,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1358,1357,2013-03-23,RBC Wealth Management,160,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1362,1361,2013-03-16,"Lloyds Bank, Limited",158,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1402,1401,2013-03-02,Infiniti,341,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1408,1407,2013-03-02,Microsoft,77,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1450,1449,2013-02-09,Omega,87,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1461,1460,2013-01-26,Digital highlights,377,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1464,1463,2013-01-26,Infiniti,341,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1466,1465,2013-01-26,MFS,115,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1476,1475,2013-01-19,Itaú,55,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1484,1483,2013-01-19,BMW,89,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1486,1485,2013-01-12,Eastern Poland?,66,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1507,1506,2012-12-22,Capital spreads,106,0,True,Editorial/Article,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1511,1510,2012-12-22,Turkish Airlines,80,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1515,1514,2012-12-22,London Business School,121,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1535,1534,2012-12-15,Carbon Trust,83,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1539,1538,2012-12-15,Economist Intelligence Unit,363,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1546,1545,2012-12-15,Rolex,20,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1552,1551,2012-12-08,Economist Conferences,95,0,True,Subscription Service,False,False,False,False,False,False,"Missed (non-ad, not flagged)","Missed (non-ad, not flagged)"
1557,1556,2012-12-08,Carbon Trust,83,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
1559,1558,2012-12-08,Shell,177,1,False,,False,False,False,False,False,False,"Correctly kept (ad, not flagged)","Correctly kept (ad, not flagged)"
