Dictionary,Outcome,Aggregation,Recession_Definition,Model_Code,Model,N_Quarters,R_squared,Durbin_Watson,Effect,Coefficient,HAC_SE,HAC_p_value,CI_low,CI_high,Interaction_p_value,Outcome_mean_pp,Effect_pct_of_mean,Significant_5pct
Loughran-McDonald,Neg,Average of ratios,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.374984,1.52105,"Recession, post-1973",0.031416,0.016198,0.053539,-0.000482,0.063314,0.195983,0.472506,6.648767,False
Loughran-McDonald,Pos,Pooled words,Majority of months (42 quarters),A,A. Recession only,268,0.002464,0.192182,Recession (whole period),-0.033396,0.072613,0.645948,-0.176365,0.109572,,1.228946,-2.71746,False
Loughran-McDonald,Pos,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.670468,0.58427,Recession (whole period),0.013682,0.037016,0.711954,-0.059201,0.086566,,1.228946,1.113335,False
Loughran-McDonald,Pos,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.787789,0.944535,Recession (whole period),0.005284,0.028895,0.855033,-0.051614,0.062182,,1.228946,0.429986,False
Loughran-McDonald,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.670921,0.584053,"Recession, pre-1973",0.005955,0.064194,0.926161,-0.120445,0.132355,0.849508,1.228946,0.484559,False
Loughran-McDonald,Pos,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.670921,0.584053,"Recession, post-1973",0.020522,0.043404,0.636733,-0.064941,0.105985,0.849508,1.228946,1.669905,False
Loughran-McDonald,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.791651,0.964281,"Recession, pre-1973",0.022355,0.029834,0.454358,-0.036395,0.081105,0.651351,1.228946,1.819024,False
Loughran-McDonald,Pos,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.791651,0.964281,"Recession, post-1973",-0.000572,0.040942,0.988871,-0.081196,0.080053,0.651351,1.228946,-0.046515,False
Loughran-McDonald,Neg,Pooled words,Majority of months (42 quarters),A,A. Recession only,268,0.006276,0.599329,Recession (whole period),0.026731,0.034065,0.433313,-0.040339,0.093802,,0.591978,4.515601,False
Loughran-McDonald,Neg,Pooled words,Majority of months (42 quarters),B,B. + linear time trend,268,0.209091,0.758629,Recession (whole period),0.039742,0.027944,0.156146,-0.015279,0.094763,,0.591978,6.713406,False
Loughran-McDonald,Neg,Pooled words,Majority of months (42 quarters),C,C. + decade fixed effects,268,0.449573,1.143577,Recession (whole period),0.033936,0.022798,0.137823,-0.010957,0.078829,,0.591978,5.732612,False
Loughran-McDonald,Neg,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.246853,0.803282,"Recession, pre-1973",0.020495,0.036787,0.577913,-0.051939,0.09293,0.435019,0.591978,3.462141,False
Loughran-McDonald,Neg,Pooled words,Majority of months (42 quarters),D,D. + trend + Recession x Post-1973,268,0.246853,0.803282,"Recession, post-1973",0.060999,0.03701,0.100511,-0.011875,0.133873,0.435019,0.591978,10.304247,False
Loughran-McDonald,Neg,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.456631,1.1661,"Recession, pre-1973",-0.000577,0.023943,0.980779,-0.047727,0.046572,0.150895,0.591978,-0.097535,False
Loughran-McDonald,Neg,Pooled words,Majority of months (42 quarters),E,E. + decade FE + Recession x Post-1973,268,0.456631,1.1661,"Recession, post-1973",0.057372,0.032314,0.077008,-0.006262,0.121006,0.150895,0.591978,9.691523,False
Loughran-McDonald,Pos,Pooled words,Any month (48 quarters),A,A. Recession only,268,0.009098,0.196949,Recession (whole period),-0.060837,0.0684,0.374575,-0.19551,0.073837,,1.228946,-4.950324,False
Loughran-McDonald,Pos,Pooled words,Any month (48 quarters),B,B. + linear time trend,268,0.670471,0.583372,Recession (whole period),0.013109,0.035329,0.710889,-0.056452,0.08267,,1.228946,1.066695,False
Loughran-McDonald,Pos,Pooled words,Any month (48 quarters),C,C. + decade fixed effects,268,0.787838,0.944016,Recession (whole period),0.006905,0.028171,0.80655,-0.048568,0.062378,,1.228946,0.561904,False
Loughran-McDonald,Pos,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.671052,0.584125,"Recession, pre-1973",0.025381,0.057186,0.657531,-0.087221,0.137983,0.785512,1.228946,2.06527,False
Loughran-McDonald,Pos,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.671052,0.584125,"Recession, post-1973",0.006212,0.043802,0.887337,-0.080036,0.092459,0.785512,1.228946,0.50545,False
Loughran-McDonald,Pos,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.79294,0.959943,"Recession, pre-1973",0.040715,0.027077,0.133898,-0.012607,0.094036,0.279654,1.228946,3.312983,False
Loughran-McDonald,Pos,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.79294,0.959943,"Recession, post-1973",-0.012172,0.040588,0.764499,-0.092099,0.067755,0.279654,1.228946,-0.990452,False
Loughran-McDonald,Neg,Pooled words,Any month (48 quarters),A,A. Recession only,268,0.00582,0.596155,Recession (whole period),0.024405,0.030788,0.428664,-0.036214,0.085025,,0.591978,4.122689,False
Loughran-McDonald,Neg,Pooled words,Any month (48 quarters),B,B. + linear time trend,268,0.214937,0.762089,Recession (whole period),0.04526,0.02674,0.091712,-0.007391,0.09791,,0.591978,7.645526,False
Loughran-McDonald,Neg,Pooled words,Any month (48 quarters),C,C. + decade fixed effects,268,0.450914,1.141123,Recession (whole period),0.034999,0.02135,0.102363,-0.007042,0.07704,,0.591978,5.912145,False
Loughran-McDonald,Neg,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.251679,0.804912,"Recession, pre-1973",0.045171,0.037433,0.228631,-0.028536,0.118878,0.822767,0.591978,7.630503,False
Loughran-McDonald,Neg,Pooled words,Any month (48 quarters),D,D. + trend + Recession x Post-1973,268,0.251679,0.804912,"Recession, post-1973",0.056536,0.035486,0.11232,-0.013337,0.126409,0.822767,0.591978,9.550331,False
Loughran-McDonald,Neg,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.454687,1.156388,"Recession, pre-1973",0.011497,0.023491,0.624956,-0.034763,0.057757,0.303024,0.591978,1.942192,False
Loughran-McDonald,Neg,Pooled words,Any month (48 quarters),E,E. + decade FE + Recession x Post-1973,268,0.454687,1.156388,"Recession, post-1973",0.051524,0.030844,0.096042,-0.009215,0.112264,0.303024,0.591978,8.703773,False
